,wiki_db,event_entity,event_type,event_timestamp,event_comment,event_user_id,event_user_text_historical,event_user_text,event_user_blocks_historical,event_user_blocks,event_user_groups_historical,event_user_groups,event_user_is_bot_by_historical,event_user_is_bot_by,event_user_is_created_by_self,event_user_is_created_by_system,event_user_is_created_by_peer,event_user_is_anonymous,event_user_registration_timestamp,event_user_creation_timestamp,event_user_first_edit_timestamp,event_user_revision_count,event_user_seconds_since_previous_revision,page_id,page_title_historical,page_title,page_namespace_historical,page_namespace_is_content_historical,page_namespace,page_namespace_is_content,page_is_redirect,page_is_deleted,page_creation_timestamp,page_first_edit_timestamp,page_revision_count,page_seconds_since_previous_revision,user_id,user_text_historical,user_text,user_blocks_historical,user_blocks,user_groups_historical,user_groups,user_is_bot_by_historical,user_is_bot_by,user_is_created_by_self,user_is_created_by_system,user_is_created_by_peer,user_is_anonymous,user_registration_timestamp,user_creation_timestamp,user_first_edit_timestamp,revision_id,revision_parent_id,revision_minor_edit,revision_deleted_parts,revision_deleted_parts_are_suppressed,revision_text_bytes,revision_text_bytes_diff,revision_text_sha1,revision_content_model,revision_content_format,revision_is_deleted_by_page_deletion,revision_deleted_by_page_deletion_timestamp,revision_is_identity_reverted,revision_first_identity_reverting_revision_id,revision_seconds_to_identity_revert,revision_is_identity_revert,revision_is_from_before_page_creation,revision_tags,unique_id,diffLast_revision_text_bytes,diffNext_revision_text_bytes
0,enwiki,revision,create,2023-10-01 00:00:00.0,Bot archiving 3 old RFPP threads,16266655,Cyberbot I,Cyberbot I,,,"bot,templateeditor","bot,templateeditor","name,group","name,group",True,False,False,False,2012-02-10 01:56:06.0,2012-02-10 01:56:07.0,2012-02-10 01:58:02.0,1591013.0,1070.0,74720038,Requests_for_page_protection/Archive/2023/09,Requests_for_page_protection/Archive/2023/09,4.0,False,4.0,False,False,False,2023-09-01 02:03:35.0,2023-09-01 02:03:35.0,329.0,5434.0,,,,,,,,,,,,,,,,,1177994969,1177985134,False,,False,1041209.0,1969.0,pkccrihdqeqfyxbj7ip6uuy8mxdheih,,,False,,False,,,False,False,discussiontools-added-comment,0,,-345816.61129568104
1,enwiki,revision,create,2023-10-01 00:00:01.0,/* top */Added WikiProject template and [[WP:AWB/GF|General fixes]],15996738,BattyBot,BattyBot,,,bot,bot,"name,group","name,group",False,False,True,False,2011-12-30 00:06:00.0,2011-12-30 00:06:01.0,2011-12-30 00:11:47.0,1696899.0,11.0,52391548,Ruslan_Polovinko,Ruslan_Polovinko,1.0,False,1.0,False,False,False,2016-11-26 16:42:09.0,2016-11-26 16:42:09.0,6.0,32784034.0,,,,,,,,,,,,,,,,,1177994949,1110614085,False,,False,301.0,26.0,4j6grr9waazjuycu8p6krn9thrdk2a7,,,False,,False,,,False,False,"disambiguator-link-added,AWB",1,99.97109129867299,96.80534918276375
2,enwiki,revision,create,2023-10-01 00:00:01.0,Add: date. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Abductive | [[Category:Articles with close paraphrasing from September 2023‎]] | #UCB_Category 11/15,7903804,Citation bot,Citation bot,,,bot,bot,"name,group","name,group",False,False,True,False,2008-09-21 02:34:54.0,2008-09-21 02:34:56.0,2008-09-27 05:58:12.0,4441907.0,10.0,67433090,Holocaust_Museum_of_Oporto,Holocaust_Museum_of_Oporto,0.0,True,0.0,True,False,False,2021-04-18 15:33:04.0,2021-04-18 15:33:04.0,50.0,284315.0,,,,,,,,,,,,,,,,,1177994946,1177452123,False,,False,9422.0,137.0,5pjunu0lc139r964wcoy8pt8ulukpzt,,,False,,False,,,False,False,,2,-3030.232558139535,94.82910016903388
3,enwiki,revision,create,2023-10-01 00:00:01.0,convert special characters found by [[Wikipedia:Typo Team/moss]] (via [[WP:JWB]]),57939,Beland,Beland,,,"sysop,autoreviewer","autoreviewer,sysop",,,False,False,False,False,2004-04-06 02:05:16.0,,2004-04-06 02:05:16.0,184428.0,133.0,4658186,K9_Thunder,K9_Thunder,0.0,True,0.0,True,False,False,2006-04-07 07:09:01.0,2006-04-07 07:09:01.0,1736.0,317730.0,,,,,,,,,,,,,,,,,1177994955,1177350666,True,,False,182212.0,-4.0,ax2e9juyeh1cscng2us11jxcaa2s4pp,,,False,,False,,,False,False,,3,-1833.8993844194438,-149254.09836065574
4,enwiki,revision,create,2023-10-01 00:00:01.0,"Added tags to the page using [[Wikipedia:Page Curation|Page Curation]] (r from alternative name, r from ambiguous term)",43475265,ClydeFranklin,ClydeFranklin,,,"rollbacker,extendedmover,extendedconfirmed,patroller,reviewer","extendedconfirmed,extendedmover,patroller,reviewer,rollbacker",,,True,False,False,False,2022-03-02 22:27:52.0,2022-03-02 22:27:53.0,2022-03-02 23:00:25.0,15251.0,1606.0,6147027,The_Poison_(disambiguation),The_Poison_(disambiguation),0.0,True,0.0,True,True,False,2006-07-27 20:59:56.0,2006-07-27 20:59:56.0,8.0,648.0,,,,,,,,,,,,,,,,,1177994948,1177993766,False,,False,122.0,85.0,7e36bdfe7g4xvlxr5jjvk7i2tipsz73,,,False,,False,,,False,False,pagetriage,4,99.93304502447698,93.11512415349887
5,enwiki,revision,create,2023-10-01 00:00:01.0,/* September 2023 */ Reply,,2605:B100:1116:A078:AD6F:E9C9:333:E8E2,2605:B100:1116:A078:AD6F:E9C9:333:E8E2,,,,,,,,,,True,,,,,,74949250,2605:B100:1116:A078:AD6F:E9C9:333:E8E2,2605:B100:1116:A078:AD6F:E9C9:333:E8E2,3.0,False,3.0,False,False,False,2023-09-30 23:17:42.0,2023-09-30 23:17:42.0,6.0,319.0,,,,,,,,,,,,,,,,,1177994947,1177994367,False,,False,1772.0,343.0,kqtomsnqmij4l2opej1sc4dh5iinqy0,,,False,,False,,,False,False,"discussiontools,discussiontools-reply,discussiontools-source,discussiontools-source-enhanced,mobile web edit,mobile edit,discussiontools-added-comment",5,-1352.4590163934427,-302.72727272727275
6,enwiki,revision,create,2023-10-01 00:00:02.0,Clearing the sandbox ([[WP:BOT|BOT]] EDIT) ([[en:WP:PEACHY|Peachy 2.0 (alpha 8)]]),16266655,Cyberbot I,Cyberbot I,,,"bot,templateeditor","bot,templateeditor","name,group","name,group",True,False,False,False,2012-02-10 01:56:06.0,2012-02-10 01:56:07.0,2012-02-10 01:58:02.0,1591014.0,2.0,16283969,Sandbox,Sandbox,4.0,False,4.0,False,False,False,2002-12-20 21:50:14.0,2002-12-20 21:50:14.0,859828.0,508.0,,,,,,,,,,,,,,,,,1177994950,1177994005,False,,False,440.0,-48704.0,mfan9rbsmtlxhtybmfpxi57tcy8kz42,,,False,,True,1177998435,1490.0,True,False,mw-replace,6,75.16930022573364,79.62019453450672
7,enwiki,revision,create,2023-10-01 00:00:02.0,,12560517,DeltaQuadBot,DeltaQuadBot,,,"bot,sysop","bot,sysop","name,group","name,group",False,False,True,False,2010-06-13 20:45:09.0,2010-06-13 20:45:10.0,2010-06-22 19:15:02.0,1508849.0,591.0,45419427,AmandaNP/UTRS_Appeals,AmandaNP/UTRS_Appeals,2.0,False,2.0,False,,True,,,58259.0,900.0,,,,,,,,,,,,,,,,,1177994951,1177993343,False,,False,2159.0,-2.0,dys4u5n08uydib80l9y20em6kjtqly4,,,True,2023-10-02 05:26:36.0,False,,,False,False,,7,-390.6818181818182,18.37429111531191
8,enwiki,revision,create,2023-10-01 00:00:02.0,Bot automatically updating DYK template with hooks copied from [[Template:Did you know/Queue/6|queue 6]],11745509,DYKUpdateBot,DYKUpdateBot,,,"bot,sysop","bot,sysop","name,group","name,group",False,False,True,False,2010-02-21 03:07:51.0,2010-02-21 03:07:54.0,2010-02-22 05:58:44.0,237231.0,86159.0,482254,Did_you_know,Did_you_know,10.0,False,10.0,False,False,False,2004-02-22 15:46:36.0,2004-02-22 15:46:36.0,32495.0,67899.0,,,,,,,,,,,,,,,,,1177994952,1177876432,False,,False,2645.0,62.0,cm5qqmz1b8vn0spyv6e1kcs9tpad163,,,False,,False,,,False,False,,8,-22.510421491431217,57.666453265044815
9,enwiki,page,delete,2023-10-01 00:00:03.0,,4842600,Explicit,Explicit,,,"sysop,autoreviewer","autoreviewer,sysop",,,True,False,False,False,2007-07-11 22:38:49.0,2007-07-11 22:38:49.0,2007-07-11 22:51:39.0,,,74860592,I_N_D_I_Alliance_Logo_-_Mumbai.jpeg,I_N_D_I_Alliance_Logo_-_Mumbai.jpeg,6.0,False,6.0,False,,True,2023-09-19 18:33:39.0,2023-09-19 18:33:39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
